ID,ISSUE,PROPLetter,PROPTitle,Month,Day,Year,Date,Description,PASS_FAIL,Vote_Counts_Yes,Vote_Counts_No,Percent_Vote_Yes,Percent_Vote_No,Percent_Required_To_Pass,Kind,HowPlaced,Fullimage,
11,,11,Changes to Street Grades,November,5,1907,"Nov 5, 2007",Relating to the changes or modifications of street grades and the performance of street work in connection therewith.,P,18499,7774,70.4,29.6,50%+1,Charter Amendment,Supervisors,November5_1907,
12,,12,"Opening, Closing, Widening, Straightening, and Extending of Streets",November,5,1907,"Nov 5, 2007","Relating to the opening, extending, widening, straightening or closing up of streets and the performance of street work in connection therewith, and the condemnation and acquisition of land and property necessary therefor.",P,18501,8109,69.5,30.5,50%+1,Charter Amendment,Supervisors,November5_1907,
13,,13,Liability for Damages against the City and its Officials,November,5,1907,"Nov 5, 2007","No recourse shall be had against the City for damage or loss to person or property due to the defective condition, or lack of repair, of any sidewalk, street, avenue, lane, alley, court, place or sewer.",P,19817,6605,75,25,50%+1,Charter Amendment,Supervisors,November5_1907,
14,,14,Leasing of Real Property of School Department,November,5,1907,"Nov 5, 2007","To lease to the highest responsible bidder, for the benefit of the Common School Fund and for a term not exceeding thirty-five years, any real property of the School Department not required for school purposes.",P,20451,5707,78.1,21.9,50%+1,Charter Amendment,Supervisors,November5_1907,
15,,15,Board of Supervisors; Power to grant permits for spur tracks,November,5,1907,"Nov 5, 2007","To permit spur tracks for industrial purposes only, for purpose of connecting warehouses, manufactories, or other business industries and enterprises with the Belt Line of railroads along the water front or other lines of railroad.",P,20501,11504,64,36,50%+1,Charter Amendment,Supervisors,November5_1907,
16,,16,Contract for Official Advertising; Official Newspaper,November,5,1907,"Nov 5, 2007","All contracts for official advertising to be let annually to the lowest responsible bidder publishing a daily newspaper with a daily circulation of at least two thousand copies and that has been in in existence for at least two years.  Advertising to be construed to mean the advertising and publication of all official reports, orders, ordinances relating to City work. The newspaper awarded such a contract shall be known as the ""Official Newspaper"".",F,12012,16729,41.7,58.3,50%+1,Charter Amendment,Supervisors,November5_1907,
17,,17,Regulation of Telephone Charges,November,5,1907,"Nov 5, 2007","To fix and determine by ordinance in the month of February of each year, to take effect on the first day of July thereafter, rates or compensation to be collected for the use of water, heat, light, power or telephonic service.",P,23867,3967,85.7,14.7,50%+1,Charter Amendment,Supervisors,November5_1907,
18,,18,Establishment of a Playground Commission,November,5,1907,"Nov 5, 2007","Relating to children's playgrounds and public recreation centers outside of Golden Gate Park, and creating a Playground Commission.",P,25897,3575,87.8,12.2,50%+1,Charter Amendment,Supervisors,November5_1907,
19,,19,Board of Health; Members; Appointment to Board and Terms of Office,November,5,1907,"Nov 5, 2007","Establish a Department of Health, under the management of the Board of Health, which will consist of seven members, to be appointed by the Mayor.   Members of the Board to serve without compensation and adopt rules and regulations as necessary for the government of the board.",P,20019,7131,73.7,26.3,50%+1,Charter Amendment,Supervisors,November5_1907,
20,,20,Salaries of Members of Police Department,November,5,1907,"Nov 5, 2007","Captains shall receive an annual salary of $2400; Lieutenants,  an annual salary of $1920; Sergeants, an annual salary of $1680; Corporals, an annual salary of $1560; Uniformed officers, an annual salary of $1464. The police force shall not exceed one officer for each 500 residents.",P,23095,17382,57,43,50%+1,Charter Amendment,Supervisors,November5_1907,
21,,21,Salaries of Members and Chief of Department of Electricity,November,5,1907,"Nov 5, 2007","Board of Fire Commissioners and Board of Police Commissioners to elect an electrician, who will have general supervision of the Department of Electricity and will receive an annual salary of $3,000.  The number and compensation of assistants and employees of the Department of Electricity will be fixed annually by the Supervisors.",P,18862,10894,63.3,36.7,50%+1,Charter Amendment,Supervisors,November5_1907,
22,,1,"Auxiliary Water System Bonds, $5,200,000",May,11,1908,"May 11, 2008","To incur a bonded indebtedness of $5,200,000 for an auxiliary water system for the City.",P,21488,1636,92.9,7.1,66.67%,Bond Issue,Supervisors,noimage,
23,,2,"Sewer System Bonds, $4,000,000",May,11,1908,"May 11, 2008","To incur a bonded indebtedness of $4,000,000 for the construction of a sewerage system for the City.",P,21401,1645,92.8,7.2,66.67%,Bond Issue,Supervisors,noimage,
24,,3,"Public School Buildings Bonds, $3,000,000",May,11,1908,"May 11, 2008","To incur a bonded indebtedness of $3,000,000 for the construction of new public school buildings in the City.",P,21397,1701,92.6,7.4,66.67%,Bond Issue,Supervisors,noimage,
25,,4,"Hospital Bonds, $2,000,000",May,11,1908,"May 11, 2008","To incur a bonded indebtedness of $2,000,000 for construction and improvement to the public hospitals in the City.",P,21263,1733,92.6,7.6,66.67%,Bond Issue,Supervisors,noimage,
26,,5,"Hall of Justice and Jail Bonds, $1,000,000",May,11,1908,"May 11, 2008","To incur a bonded indebtedness of $1,000,000 for the construction of a Hall of Justice and a jail facility in the City.",P,21133,1875,91.8,8.2,66.67%,Bond Issue,Supervisors,noimage,
27,,6,"Sanitary Reduction Work Bonds, $1,000,000",May,11,1908,"May 11, 2008","To incur a bonded indebtedness of $1,000,000 for the construction of a garbage disposal plant and to change the methods of the current sanitary system in the City.",P,20653,2423,89.4,10.6,66.67%,Bond Issue,Supervisors,noimage,
28,,1,Hetch Hetchy Project Authorization,November,12,1908,"Nov 12, 2008","Shall the City be authorized to purchase as a public utility, a water supply system and water works in the Hetch Hetchy Valley to furnish the City and its inhabitants with a sufficient supply of good, pure water for all purposes?",P,34950,5708,85.9,14.1,50%+1,Charter Amendment,Supervisors,noimage,
29,,2,"Hetch Hetchy, Tuolumne River, Lake Eleanor Project Bonds, $600,000",November,12,1908,"Nov 12, 2008","To incur a bonded indebtedness of $600,000 for the purchase of lands, rights and claims to and adjacent to the Hetch Hetchy Valley and Lake Eleanor for the purpose of the construction of a water supply system and water works to furnish the City with a sufficient supply of good, pure water for all purposes. Requires a two-thirds vote to pass.",P,34572,5647,86.4,13.6,66.67%,Bond Issue,Supervisors,noimage,
30,,3,"County Line Water Company Purchase, $40,000",November,12,1908,"Nov 12, 2008","To authorize the City to spend $40,000 on the purchase of the property and operations of the County Line Water Company used in supplying a portion of  the City with water.",P,33897,5953,85,15,50%+1,Charter Amendment,Supervisors,noimage,
31,,1,New City Hall,June,22,1909,"Jun 22, 2009","To incur a bonded indebtedness of $3,480,000 for the construction of a new City Hall and the purchase of four-and-a-half blocks new Market and Van Ness to constitute a Civic Center.",F,12807,10498,54.9,45.1,66.67%,Bond Issue,Supervisors,noimage,
32,,2,"Polytechnic High School Bond Issue, $600,000",June,22,1909,"Jun 22, 2009","To incur a bonded indebtedness of $600,000 for the construction of Polytechnic High School",P,17979,5210,77.5,22.5,66.67%,Bond Issue,Supervisors,noimage,
33,,3,"Juvenile Detention Home Bond Issue, $160,000",June,22,1909,"Jun 22, 2009","To incur a bonded indebtedness of $160,000 for the construction of a juvenile detention home.",F,14950,8253,64.4,35.6,66.67%,Bond Issue,Supervisors,noimage,
34,,4,"Telegraph Hill Public Park Bond Issue, $250,000",June,22,1909,"Jun 22, 2009","To incur a bonded indebtedness of $250,000 for the acquisition of lands on Telegraph Hill for the construction of a public park.",F,14334,8784,62,37.8,66.67%,Bond Issue,Supervisors,noimage,
35,,5,"Potrero Public Park Bond Issue, $400,000",June,22,1909,"Jun 22, 2009","To incur a bonded indebtedness of $400,000 for the acquisition of land in the Potrero neighborhood near Kansas, 20th and Connecticut for the construction of a public park.",F,14243,8941,61.4,38.6,66.67%,Bond Issue,Supervisors,noimage,
36,,6,"Aquatic Park Bond Issue, $500,000",June,22,1909,"Jun 22, 2009","To incur a bonded indebtedness of $500,000 for the acquisition of lands at the northern terminal of Van Ness Avenue for the construction of a public aquatic park.",F,14466,8755,62.2,37.8,66.67%,Bond Issue,Supervisors,noimage,
37,,7,"Bay View Public Park Bond Issue, $25,000",June,22,1909,"Jun 22, 2009","To incur a bonded indebtedness of $25,000 for the acquisition of the Bay View near the railroad and 32nd Avenue.",F,14215,8805,61.7,38.3,66.67%,Bond Issue,Supervisor,noimage,
38,,8,"Noe Valley Public Playground Bond Issue, $500,000",June,22,1909,"Jun 22, 2009","To incur a bonded indebtedness of $500,000 for the acquisition of land near Noe Street, Sanchez, Elizabeth and 24th Street.",F,14861,8258,64.2,35.8,66.67%,Bond Issue,Supervisor,noimage,
39,,9,"Glen Park Public Park Bond Issue, $90,000",June,22,1909,"Jun 22, 2009","To incur a bonded indebtedness of $90,000 for the acquisition of lands in the Glen Park District for a public park",F,13451,9560,58.4,41.6,66.67%,Bond Issue,Supervisors,noimage,
40,,1,"Municipal (MUNI) Street Railway -- Gray Street Bond Issue, $1,950,000",June,24,1909,"Jun 24, 2009","To incur a bonded indebtedness of $1,950,000 for the acquisition and construction of a public utility namely the Municipal Street Railway along Gray Street.",F,14404,7805,64.8,35.2,66.67%,Bond Issue,Supervisors,noimage,
41,,1,Lake Eleanor Bonds,January,14,1910,"Jan 14, 2010","To incur a bonded debt of City and County of San Francisco to the amount of $45,000,000 for the purpose of acquisition, construction and completion of a water supply and works to be owned and controlled by the City and County of San Francisco.",P,32886,1609,95.3,4.7,66.67%,Bond Issue,Supervisors,noimage,
42,,2,Spring Valley System,January,14,1910,"Jan 14, 2010","To incur a bonded debt of $35,000,000 to purchase water supply, works and property of Spring Valley Water Company.",F,22068,11722,65.3,34.7,66.67%,Bond Issue,Supervisor,noimage,
43,,1,Panama-Pacific International Exposition,November,15,1910,"Nov 15, 2010","Providing $5,000,000 city bonds for the exposition.",P,42024,2122,95.1,4.9,50%+1,Charter Amendment,Supervisors,noimage,
44,,2,Library Trustees,November,15,1910,"Nov 15, 2010",Giving the Mayor the appointment of Library Trustees.,F,11539,27813,29.3,70.7,50%+1,Charter Amendment,Supervisors,noimage,
45,,3,City Taxes,November,15,1910,"Nov 15, 2010",Abolishing the dollar limit in the rate of city taxes.,F,9753,27854,25.9,74.1,50%+1,Charter Amendment,Supervisor,noimage,
46,,4,Public Utilities,November,15,1910,"Nov 15, 2010",Enlarging power of city to acquire public utilities.,F,11186,26736,29.4,70.6,50%+1,Charter Amendment,Supervisors,noimage,
47,,5,Municipal Record,November,15,1910,"Nov 15, 2010",Providing for the city advertising in Municipal Record,F,18593,20045,48.1,51.9,50%+1,Charter Amendment,Supervisors,noimage,
48,,6,Petition Percentage,November,15,1910,"Nov 15, 2010",Reducing petition percentage for direct legislation and recall.,P,21651,17663,55,45,50%+1,Charter Amendment,Supervisors,noimage,
49,,7,Majority Rule,November,15,1910,"Nov 15, 2010",Provides for majority rule and restores Australian ballot.,P,33671,7469,81.8,18.2,50%+1,Charter Amendment,Supervisors,noimage,
50,,8,City Election Ballot,November,15,1910,"Nov 15, 2010",Eliminates the party circles from city election ballot.,P,31380,8480,78.7,21.3,50%+1,Charter Amendment,Supervisors,noimage,
51,,9,Term Limits For Supervisors,November,15,1910,"Nov 15, 2010",Four-year term: half Supervisors elected every two years.,P,21108,11130,65.4,34.6,50%+1,Charter Amendment,Supervisors,noimage,
52,,10,Absence of City Officials,November,15,1910,"Nov 15, 2010",Enlarging the opportunity for absence of city officials.,P,28411,10847,72.3,27.7,50%+1,Charter Amendment,Supervisors,noimage,
53,,11,Tunnel and Subway Construction,November,15,1910,"Nov 15, 2010",Provides for construction of tunnels and subways.,P,32432,7073,82,18,50%+1,Charter Amendment,Supervisors,noimage,
54,,12,Tunnel and Subway Construction (Same As Number 11),November,15,1910,"Nov 15, 2010",Provides for construction of tunnels and subways.,P,31558,7301,81.2,18.8,50%+1,Charter Amendment,Supervisors,noimage,
55,,13,Sewer Assessments,November,15,1910,"Nov 15, 2010",Exempting sewer assessments from 50 per cent property value clause.,F,13005,24500,34.6,65.4,50%+1,Charter Amendment,Supervisors,noimage,
56,,14,Responsibility For Unaccepted Streets,November,15,1910,"Nov 15, 2010",Makes property owners responsible for unaccepted streets.,P,27643,11243,71,29,50%+1,Charter Amendment,Supervisors,noimage,
57,,17,Construction of Park Museum,November,15,1910,"Nov 15, 2010",Permitting Academy of Sciences to build museum in Park.,P,34490,4561,88.3,11.7,50%+1,Charter Amendment,Supervisors,noimage,
58,,18,Age Limit For Fire Auxiliary System Employees,November,15,1910,"Nov 15, 2010",Extending age limit of employees in the Auxiliary system.,P,19192,19009,50.2,49.8,50%+1,Charter Amendment,Supervisors,noimage,
59,,19,Recall of Street Railroad Franchise,November,15,1910,"Nov 15, 2010",Permitting city to recall street railroad franchise.,P,20465,17677,53.6,46.4,50%+1,Charter Amendment,Supervisors,noimage,
60,,20,Street Railroad Franchise Restrictions,November,15,1910,"Nov 15, 2010",Adding to restrictions of street railroad franchises.,F,17684,18921,48.3,51.7,50%+1,Charter Amendment,Supervisors,noimage,
61,,21,Tax Levy For Playgrounds,November,15,1910,"Nov 15, 2010",Providing 4 to 6 cent tax levy for playgrounds.,F,12779,23851,34.8,65.2,50%+1,Charter Amendment,Supervisors,noimage,
62,,22,Golden Gate Park Funds,November,15,1910,"Nov 15, 2010",Taking half Golden Gate Park funds for other parks.,F,16855,20504,45.1,54.9,50%+1,Charter Amendment,Supervisors,noimage,
63,,23,Municipal Work,November,15,1910,"Nov 15, 2010",Restricting municipal work to the day labor system.,F,10896,25697,29.7,70.3,50%+1,Charter Amendment,Supervisors,noimage,
64,,24,Civil Service Commission Cost and Term,November,15,1910,"Nov 15, 2010",Adds to cost and alters form of Civil Service Commission.,F,14234,22261,39,61,50%+1,Charter Amendment,Supervisor,noimage,
65,,25,Reducing City Office Hours,November,15,1910,"Nov 15, 2010",Provides leisure for tax eaters by reducing city office hours.,F,8662,28014,23.6,76.4,50%+1,Charter Amendment,Supervisors,noimage,
66,,27,Fiscal Amendments,November,15,1910,"Nov 15, 2010",Makes fiscal amendments take effect first of fiscal year.,P,27383,10225,72.8,27.2,50%+1,Charter Amendment,Supervisors,noimage,
67,,28,Raising Firemen Pensions,November,15,1910,"Nov 15, 2010",Raising pensions of firemen retired before year 1900.,P,30460,8415,78.3,21.7,50%+1,Charter Amendment,Supervisors,noimage,
68,,29,Supervisors' Salaries,November,15,1910,"Nov 15, 2010",Raising the salaries of Supervisors to $200 a month.,P,20709,17396,54.3,45.7,50%+1,Charter Amendment,Supervisors,noimage,
69,,30,Salaries and Positions in Registrar's Office,November,15,1910,"Nov 15, 2010",More positions and higher salaries in Registrar's office.,F,12353,26550,31.7,68.3,50%+1,Charter Amendment,Supervisors,noimage,
70,,31,Raising Salaries,November,15,1910,"Nov 15, 2010",Raising salaries of certain employees in Tax Collector's office.,F,10109,28374,26.2,73.8,50%+1,Charter Amendment,Supervisors,noimage,
71,,32,Board of Works -- Positions and Money,November,15,1910,"Nov 15, 2010",New positions and more money for the Board of Works.,F,8797,29697,22.8,77.2,50%+1,Charter Amendment,Supervisors,noimage,
72,,33,Board of Health -- Positions and Money,November,15,1910,"Nov 15, 2010",New positions and more money for the Board of Health.,F,9471,29478,24.3,75.7,50%+1,Charter Amendment,Supervisors,noimage,
73,,34,Department of Electricity -- Salaries,November,15,1910,"Nov 15, 2010",Higher and more salaries in Department of Electricity.,F,8257,29648,21.7,78.3,50%+1,Charter Amendment,Supervisors,noimage,
74,,35,Recorder's Salaries,November,15,1910,"Nov 15, 2010",Reducing piece rate and increasing salaries in Recorder's office.,P,21118,18163,53.7,46.3,50%+1,Charter Amendment,Supervisors,noimage,
75,,36,Assessor's Office -- Positions and Salaries,November,15,1910,"Nov 15, 2010",New positions and higher salaries in Assessor's office.,F,19324,19674,49.5,50.5,50%+1,Charter Amendment,Supervisors,noimage,
76,,37,Taxes For Public Schools,November,15,1910,"Nov 15, 2010",Adding to the portion of taxes for the public schools.,F,15027,23567,38.9,61.1,50%+1,Charter Amendment,Supervisors,noimage,
77,,38,Minimum Wage For City Work,November,15,1910,"Nov 15, 2010",Making $3 minimum day's wage on all the city work.,P,20972,19367,51.9,48.1,50%+1,Charter Amendment,Supervisors,noimage,
78,,39,Police Patrol Drivers' Salaries,November,15,1910,"Nov 15, 2010",Raising the salaries of the police patrol drivers.,F,15256,24681,39.9,60.1,50%+1,Charter Amendment,Supervisors,noimage,
79,,,,,,,,,P,,,,,,Ordinance,Supervisors,noimage,
80,,,City Hall Bonds,March,28,1912,"Mar 28, 2012",Whether bonds are to be issued with which to build a new City Hall and to acquire land adjacent to it upon which will be constructed the San Francisco civic center.,P,45129,4035,91.7,8.3,,Bond Issue,Supervisors,noimage,
81,,1,Establishing a Civic Center,December,10,1912,"Dec 10, 2012","Board of Supervisors to acquire land bounded by Market Street, Golden Gate Avenue and Franklin Street, for the purpose of establishing a Civic Center. The Board may also authorize the erection of an auditorium by the Panama-Pacific International Exposition Company, or of an opera house, museum, or other structure, provided the ownership of such structure will be vested in the municipality.",P,50210,24145,67.5,32.5,50%+1,Charter Amendment,Supervisors,December10_1912,
82,,2,Panama-Pacific International Exposition Site,December,10,1912,"Dec 10, 2012","Board of Supervisors to pass ordinances relating to use and closing of streets; the use, alteration, demolition and control of buildings; installation of water, gas, steam, sewerage and other pipes; use and control of electric light, power; maintenance and control of fire and police protection; any portion of the City and County of San Francisco which has been or may be selected as the site for the holding of the Panama-Pacific International Exposition.",P,47962,24720,65.9,34.1,50%+1,Charter Amendment,Supervisors,December10_1912,
83,,3,Establishment of Civil Service Commission,December,10,1912,"Dec 10, 2012","The Mayor will appoint three persons as Civil Service Commissioners, who will constitute the Civil Service Commission.   Each of the Commissioners will receive an annual salary of $1200.  Supervisors will appropriate annually not less than $12,500 for the expenses of the Commission, and not less than $5,000 additional for the inspection service.",P,44403,30522,59.2,40.8,50%+1,Charter Amendment,Supervisors,December10_1912,
84,,4,Elected City Officials,December,10,1912,"Dec 10, 2012","All these officials will be elected by the people: Assessor - term of four years, annual salary $8000;  Coroner- term of four years,  also control the Morgue, annual salary of $5,000; Recorder - term of four years, annual salary $5,000; County Clerk  - term of four years, annual salary $5,000;  Sheriff  - term of four years, annual salary $8,000 exclusive of the compensation received for delivery of prisoners and the insane.",F,14779,58153,20.2,79.8,50%+1,Charter Amendment,Supervisors,December10_1912,
85,,5,Fire Department Company Composition,December,10,1912,"Dec 10, 2012","Relating to the composition and duty shifts of the following: Fire Engine Company, Truck Company, Combination Chemical Company, Chemical Company, Water Tower Company, Fire Boat Company, Monitor Battery.",F,33644,46178,42.1,57.9,50%+1,Charter Amendment,Supervisors,December10_1912,
86,,6,Acquisition and Ownership of Public Utilities,December,10,1912,"Dec 10, 2012","The Board of Supervisors is empowered to provide by ordinance for the acquisition, construction, extension or condemnation of any public utility and to meet the costs of such acquisition by either issuance of bonds, by a special tax levy or by a tax on assessed property to be used solely for the purpose of construction of public utilities.",F,20719,49975,29.3,70.7,50%+1,Charter Amendment,Supervisors,December10_1912,
87,,7,"Regulations of Board of Elections Commissioners, Registrar of Voters and Deputy Registrar",December,10,1912,"Dec 10, 2012","No Registrar, Deputy Registrar, or member of the Board will, during the term of office be a member of any convention, the purpose of which is to nominate candidates for office, nor hold any municipal office until one year after the end of the term; nor take part in any election except to vote, and when acting as Election Commissioner; nor act as officer of any election or primary election.",F,26351,44551,37.1,62.9,50%+1,Charter Amendment,Supervisors,December10_1912,
88,,8,Elected City Officials,December,10,1912,"Dec 10, 2012","All these officials will be elected by the people: Treasurer - term of four years, annual salary $5,000; Auditor- term of four years, annual salary $5,000;  Tax Collector  - term of two years until the eighth day of January 1914, thereafter, four years, annual salary $5,000; ""City Attorney"" - term of four years, annual salary $7,000.",F,5855,63471,8.4,91.6,50%+1,Charter Amendment,Supervisors,December10_1912,
89,,9,Establishment of Department of Energy,December,10,1912,"Dec 10, 2012",Department of Electricity will have charge of the construction and maintenance of the Fire Alarm and Police Telegraph and Telephone Systems.,F,7117,62296,10.2,89.8,50%+1,Charter Amendment,Supervisors,December10_1912,
90,,10,Chief of Police to Select Detectives,December,10,1912,"Dec 10, 2012","Chief of Police to select detectives,  not to exceed one detective for each eighteen police officers. Chief to designate Captain of Detectives, annual salary,  $3,000; Lieutenant of Detectives, annual salary $2400; Detective Sergeants, annual salary $1800.",F,7089,63246,10,90,50%+1,Charter Amendment,Supervisors,December10_1912,
91,,11,"Chief of Police, Duties and Responsibilities",December,10,1912,"Dec 10, 2012","Chief of Police - appointed by Board of Police Commissioners for a term of four years, annual salary $6,000, have control of all members of Department, maintain and enforce law, control of City and County prisons.",F,5430,64600,10.1,89.9,50%+1,Charter Amendment,Supervisors,December10_1912,
92,,12,City Expenses For Holiday Celebrations,December,10,1912,"Dec 10, 2012","Establish limits on  the following holiday celebrations: National Independence - $2,500; Admission of the State of California into the Union - $1,000; Memorial Day - $500.",F,32735,38024,46.2,53.8,50%+1,Charter Amendment,Supervisors,December10_1912,
93,,13,Appointed City Employees,December,10,1912,"Dec 10, 2012","All persons appointed to office must be citizens of the United States, and must, during their employment, reside in the city and county, and must have resided for one year preceding their appointment.  Appointees whose duties are performed outside the city will not be subject to those requirements",P,41215,30474,57.4,42.6,50%+1,Charter Amendment,Supervisors,December10_1912,
94,,14,City Indebtedness,December,10,1912,"Dec 10, 2012","No indebtedness shall be incurred that, together with existing bonded indebtedness,  exceeds 15 (percent) of the assessed value of City and County property; provided that bonds-- issued for the Panama-Pacific Exposition and for the acquisition or construction of a water supply-- will be excluded when computing such existing bonded indebtedness.",F,15656,51913,23.1,76.9,50%+1,Charter Amendment,Supervisors,December10_1912,
95,,15,"Property Tax Levy Date, Special Taxes",December,10,1912,"Dec 10, 2012","On or before the first Monday of September of each year, the Board of Supervisors shall levy the amount of taxes for City purposes. A special tax may be levied for the following purposes: support of schools, construction of public buildings, acquisition of public utilities, acquisition of lands for city purposes, construction of tunnels, bridges and other permanent structures, repair of sewers, repair and maintenance of streets and for increases of salary or number of officials voted at any election.",F,13039,54597,16.1,83.9,50%+1,Charter Amendment,Supervisors,December10_1912,
96,,16,Parks Tax,December,10,1912,"Dec 10, 2012","The Board of Supervisors shall provide all necessary money for the maintenance, preservation and improvement of said parks, squares, avenues and grounds; annually levy a tax on all property in the City and County not exempt from taxation, not less than five cents nor more than ten cents for each on hundred dollars assessed valuation of property.",F,30194,38627,43.8,56.2,50%+1,Charter Amendment,Supervisors,December10_1912,
97,,17,"Relief For Aged, Indigent and Infirm Volunteer Fire Department Fireman",December,10,1912,"Dec 10, 2012","To allow a yearly sum, no greater than $7,500, for the relief of aged, indigent and infirm exempt firemen who served in the Volunteer Fire Department between the years of 1850 and 1866.",F,35014,35216,49.8,50.2,50%+1,Charter Amendment,Supervisors,December10_1912,
98,,18,"Opening, Closing, Widening, Extending any Street, Lane, Alley, Etc.",December,10,1912,"Dec 10, 2012","Board of Supervisors shall have the power to order the extending, widening, closing of any street, lane, alley, etc in the city.",P,41029,28379,59.1,40.9,50%+1,Charter Amendment,Supervisors,December10_1912,
99,,19,"Tunnels, Subways and Viaducts",December,10,1912,"Dec 10, 2012","Board of Supervisors are empowered to order construction of and construct any tunnel, subway or viaduct, in, on, under or over any accepted or unaccepted open public street, avenue, lane, alley, place or court within the City or County.",P,38873,29962,56.8,43.2,50%+1,Charter Amendment,Supervisors,December10_1912,
100,,20,"Improvement of Streets, Procedures and Expenses",December,10,1912,"Dec 10, 2012",The methods for improvement of streets and procedures for expenses relating to same shall not be deemed exclusive. The Board of Supervisors by a vote of not less than two-thirds of its members may by ordinance substitute any method or procedure or amend any method or procedure.,P,37492,30840,54.8,45.2,50%+1,Charter Amendment,Supervisors,December10_1912,
101,,21,"Improvement of Streets, Bonded Indebtedness",December,10,1912,"Dec 10, 2012","Bonded indebtedness may be incurred and bonds issued approved by the voters, for the purpose of improvement of streets or any other kind of public work provided that the aggregate amount shall not exceed the amount of $500,000.",P,37955,30371,55.7,44.3,50%+1,Charter Amendment,Supervisors,December10_1912,
102,,22,"Relief Home Tract, Rancho San Miguel",December,10,1912,"Dec 10, 2012","The Board of Supervisors may sell a portion of the Relief Home Tract not adapted to public use, being a portion of the Rancho San Miguel.  The proceeds arising from such sale shall be used exclusively for the purchase of other lands adjoining the Relief Home Tract",P,39118,29472,57,43,50%+1,Charter Amendment,Supervisors,December10_1912,
103,,23,Qualification For Elected or Appointed Office,December,10,1912,"Dec 10, 2012","No political, religious or partisan qualifications shall be required for election or appointment to any office under the City and County.  The right to hold any office or position shall not be limited by sex.",P,34779,31856,52.1,47.9,50%+1,Charter Amendment,Supervisors,December10_1912,
104,,24,"City Attorney, Collection of Taxes",December,10,1912,"Dec 10, 2012","The City Attorney shall commence and prosecute actions for the collection of taxes, by request of the Assessor or Tax Collector.",P,38137,28905,56.8,43.2,50%+1,Charter Amendment,Supervisors,December10_1912,
