Ballot Measure Committee,Stance,Election,Ballot Measure,Consulting Firm,Services,Payment Received
"Committee to Stop Violence at Laguna Honda, Yes on D, A Coalition of Taxpayers, Seniors, Neighborhood Associations and the Residential Builders Association of San Francisco",Yes,06/06/06,D,,,
Save Laguna Honda Hospital- No on D,No,06/06/06,D,"Barnes, Mosher, Whitehurst & Partners",campaign management,"$13,795.00"
,,,,Barnes Mosher,campaign management,"$20,000.00"
,,,,Barnes Mosher,campaign management,"$17,500.00"
,,,,Nichelle Lyons,Fundraising ,"$10,484.00"
,,,,Nichelle Lyons,Fundraising ,"$15,181.00"
"Yes on Proposition A, Let's Rebuild San Francisco's Schools funded in part by a Citizen interested in improving education in San Francisco public schools",Yes,11/07/06,A,,,
"No on Prop. A, Sponsored by Coalition for Better Housing",No,11/07/06,A,,,
N/A,,,B,,,
N/A,,,C,,,
N/A,,,D,,,
Yes on E,Yes,11/07/06,E,,,
"No on Proposition E: a coalition of labor unions, small businesses, parking garage operators, community leaders, and San Franciscans coming together to oppose the dangerous tax increase",No,11/07/06,E,Storefront Political Media,Campaign consultation and media production,"$6,000.00"
"Campaign for Paid Sick Days, Yes on Prop F",Yes,11/07/06,F,,,
N/A,,,G,,,
"Fairness for Displaced Tenants, A Committee for Proposition H",Yes,11/07/06,H,,,
"Truth on Prop H - Concerned Citizens Against Prop H, Sponsored by: Small Property Owners of San Francisco",No,11/07/06,H,,,
N/A,,,I,,,
N/A,,,J,,,
N/A,,,K,,,
"Yes on A- a coalition of MUNI riders, environmentalists, labor",Yes,11/06/07,A,Nichelle Lyons,Fundraising committee debt retirement,"$6,759.00"
N/A,,,B,,,
"The Committee for Election Sunshine, Yes on C, Sponsored by League of Women Voters of SF, SPUR, San Francisco Chamber of Commerce and San Francisco Small Business Advocates PAC",Yes,11/06/07,C,Jim Ross Political Consulting,"Creation of campaign website, political consulting services.","$2,680.00"
,,,,Jim Ross Political Consulting,Political consulting and coordination of materials delivery,"$1,000.00"
"Committee to Protect Library Funding for Books and Services, No on Prop D",No,11/06/07,D,Berg Davis Public Affairs,"Obtain endorsement from community organization, field campaign work and develop communications strategy.","$8,854.00"
,,,,Berg Davis Public Affairs,"Obtain endorsement from community organization, field campaign work and develop communications strategy.","$24,732.00"
,,,,Stearns Consulting ,political consulting,"$96,361.00"
,,,,whitehurst Campaigns,general campaign management consulting ,"$32,994.00"
,,,,Whitehurst Campaigns,general campaign management consulting ,"$22,500.00"
,,,,Stearns Consulting ,political consulting,"$5,000.00"
"Project Mayor- Supervisor Connect, Yes on E",Yes,11/06/07,E,,,
"Let's Really Work Together Coalition, No on E",No,11/06/07,E,"Malchow Schlackman & Hoppey, Inc.",Direct mail campaign,$0.00
,,,,Stephanie Roumeliotes/SGR Consulting,Fundraising and strategy No on E,"$5,228.00"
,,,,Stephanie Roumeliotes/SGR Consulting,Fundraising and No on E,"$9,000.00"
,,,,"Malchow Schlackman & Hoppey, Inc.",Direct mail campaign,"$156,803.00"
,,,,Stephanie Roumeliotes/SGR Consulting,organizing and fundraising strategy ,$0.00
N/A,,,F,,,
N/A,,,G,,,
"Parking for Neighborhoods, Yes on H, No on A",Yes,11/06/07,H,Jim Ross Political Consulting,"campaign management, press communications and strategic services","$10,050.00"
,,,,Nichelle Lyons,Fundraising committee debt retirement,$759.00
,,,,JKW Political Consulting ,"Jim Ross Consulting, Consulting for Prop A and H","$6,235.00"
,,,,Jim Ross Political Consulting,"Political consulting services, community outreach and coordination of phone calls","$4,584.00"
Neighbors Against Traffic & Pollution- No on H,No,11/06/07,H,Stearns Consulting ,political consulting,"$101,460.00"
,,,,Stearns Consulting ,Campaign strategy and media,"$1,250.00"
,,,,Stearns Consulting ,Campaign strategy and media,"$1,250.00"
,,,,Stearns Consulting ,Political consulting and advice,$0.00
"The Campaign for Small Business, A Committee in Support of Proposition I",Yes,11/06/07,I,Jim Ross Political Consulting,political consulting on behalf of campaign,"$1,020.00"
,,,,Jim Ross Political Consulting,"political consulting services, creation and distribution of direct mail","$26,500.00"
San Franciscans for Free Wireless Internet Access: Yes on Prop J,Yes,11/06/07,J,N/A,N/A,N/A
